1	1:0.0715	2:0.0562	3:0.0026	4:0.1007	5:0.0445	
1	1:0.0000	2:0.0019	3:0.0000	4:0.0000	5:0.0098	
1	1:0.0000	2:0.0000	3:0.0000	4:0.0007	5:0.0053	
1	1:0.0000	2:0.0000	3:0.0039	4:0.0000	5:0.0084	
1	1:0.0000	2:0.0000	3:0.0000	4:0.0000	5:0.0210	
1	1:0.0000	2:0.0000	3:0.0000	4:0.0009	5:0.0285	
1	1:0.0000	2:0.0000	3:0.0046	4:0.0130	5:0.0522	
1	1:0.0000	2:0.0019	3:0.0000	4:0.0000	5:0.0098	
1	1:0.0000	2:0.0000	3:0.0000	4:0.0000	5:0.0000	
1	1:0.0000	2:0.0429	3:0.0124	4:0.0691	5:0.0000	
1	1:0.0000	2:0.0000	3:0.0000	4:0.0000	5:0.0000	
1	1:0.0000	2:0.0000	3:0.0000	4:0.0000	5:0.0000	
1	1:0.0000	2:0.0000	3:0.0327	4:0.0304	5:0.0000	
1	1:0.0000	2:0.0000	3:0.0749	4:0.0162	5:0.0000	
2	1:0.3807	2:0.0000	3:0.0000	4:0.0141	5:0.0016	
2	1:0.2951	2:0.0000	3:0.0481	4:0.0091	5:0.0008	
2	1:0.2433	2:0.0000	3:0.0492	4:0.0000	5:0.0000	
2	1:0.0703	2:0.0000	3:0.0036	4:0.0079	5:0.0000	
2	1:0.3182	2:0.3124	3:0.0000	4:0.0244	5:0.0094	
2	1:0.3014	2:0.2955	3:0.0000	4:0.0011	5:0.0011	
2	1:0.3802	2:0.3724	3:0.0019	4:0.0095	5:0.0063	
2	1:0.2801	2:0.2771	3:0.0000	4:0.0052	5:0.0006	
2	1:0.2695	2:0.2661	3:0.0000	4:0.0148	5:0.0000	
2	1:0.3779	2:0.3724	3:0.0000	4:0.0110	5:0.0000	
2	1:0.1560	2:0.0000	3:0.0090	4:0.0246	5:0.0057	
2	1:0.2187	2:0.0000	3:0.0000	4:0.0007	5:0.0031	
2	1:0.3779	2:0.3715	3:0.0000	4:0.0309	5:0.0043	
3	1:0.0865	2:0.0008	3:0.0184	4:0.0000	5:0.0000	
3	1:0.0750	2:0.0651	3:0.0354	4:0.0081	5:0.0013	
3	1:0.0907	2:0.0008	3:0.0462	4:0.0000	5:0.0000	
3	1:0.0801	2:0.0009	3:0.0482	4:0.0202	5:0.0012	
3	1:0.0801	2:0.0009	3:0.0534	4:0.0174	5:0.0002	
3	1:0.0000	2:0.0351	3:0.0000	4:0.0305	5:0.0070	
3	1:0.1840	2:0.1633	3:0.0327	4:0.0783	5:0.0257	
3	1:0.1940	2:0.1700	3:0.0386	4:0.0825	5:0.0081	
3	1:0.2041	2:0.1793	3:0.0449	4:0.0049	5:0.0063	
3	1:0.5804	2:0.0000	3:0.0042	4:0.0000	5:0.0000	
3	1:0.2972	2:0.2291	3:0.0116	4:0.0066	5:0.0000	
3	1:0.2523	2:0.2505	3:0.0000	4:0.0000	5:0.0027	
3	1:0.2275	2:0.3082	3:0.0000	4:0.0000	5:0.0000	
3	1:0.0000	2:0.0000	3:0.0000	4:0.0010	5:0.0000	
