1    1:0    2:0.0019035    3:0    4:0    5:0.0098295    6:0    7:9.7446e-05    8:0.0041152    9:0.027672    10:0.0091941    11:0    12:0.00051348    13:0.00030472    14:0    15:0.024212    16:0    17:0    18:0    19:0    20:0
1    1:0    2:0    3:0    4:0    5:0    6:5.0052e-05    7:0    8:0    9:0    10:0    11:0    12:0    13:0    14:0    15:0    16:0    17:0    18:0    19:0    20:0
1    1:0    2:0.042896    3:0.012351    4:0.069201    5:0    6:0.012492    7:0.00059517    8:0    9:0    10:0    11:0    12:0    13:0    14:0    15:0    16:0    17:0    18:0.013167    19:0    20:0
1    1:0    2:0    3:0    4:0    5:0    6:0.00034169    7:0.042518    8:0.057711    9:0.040829    10:0    11:0    12:0    13:0    14:0.0096447    15:0    16:0    17:0    18:0    19:0    20:0
1    1:0    2:0    3:0    4:0    5:0    6:0.00047489    7:0.020091    8:0.04093    9:0.042062    10:0    11:0    12:0    13:0    14:0.003633    15:0    16:0    17:0    18:0    19:0    20:0
1    1:0    2:0    3:0.032655    4:0.029505    5:0    6:0    7:0    8:3.562e-05    9:0    10:0    11:0    12:0    13:0    14:0    15:0    16:0    17:0    18:0    19:0    20:0
1    1:0    2:0    3:0.074881    4:0.016169    5:0    6:0    7:0    8:0    9:0    10:0    11:0    12:0    13:0    14:0.0037165    15:0    16:0    17:0    18:0.0006195    19:0.011579    20:0
2    1:0.24325    2:0    3:0.049154    4:0    5:0    6:0    7:0    8:0.0040815    9:0.0089017    10:0.002303    11:0    12:0    13:0.0048243    14:0.017745    15:0.00082993    16:0    17:0.25081    18:0.012075    19:0    20:0
2    1:0.07048    2:0    3:0.003593    4:0.0078961    5:0    6:0    7:0.17244    8:0    9:0.0088697    10:0.00021631    11:0    12:0    13:0.10668    14:0.008216    15:0    16:0    17:0    18:0.00063826    19:0    20:0
3    1:0.58038    2:0    3:0.0042035    4:0    5:0    6:0    7:0    8:0.0012432    9:0.0010706    10:0.014107    11:0    12:0    13:0    14:0    15:0    16:0    17:0.31434    18:0.0010282    19:0    20:0
3    1:0.29716    2:0.22905    3:0.01155    4:0.0058824    5:0    6:0    7:0    8:0.00076955    9:0    10:0.0023    11:0    12:0.0091686    13:0    14:0.00021663    15:0    16:0    17:0    18:0    19:0.0017419    20:0
3    1:0.25229    2:0.25046    3:0    4:0    5:0.0026618    6:0    7:0    8:0.00077945    9:0    10:0.032017    11:0    12:0    13:0.00020914    14:0    15:0    16:0    17:0    18:0.00046428    19:0    20:0
3    1:0.2275    2:0.30823    3:0    4:0    5:0    6:0    7:0    8:0.011477    9:0.032493    10:0    11:0    12:0    13:0    14:0    15:0    16:0    17:0    18:0.00020562    19:0    20:0
3    1:0    2:0    3:0    4:0.0010425    5:0    6:0.27305    7:0.058422    8:0.0036562    9:0.0060782    10:0    11:0    12:0.034659    13:0.00026352    14:0    15:0    16:0    17:0    18:0    19:0    20:0
