1	 1:0	 2:1.30521820365675E-02	 3:0	 4:0	 5:4.30980469078376E-02	 6:5.951747134811E-04	 7:0	 8:0	 9:1.30745006487384E-02	 10:0	 11:0	 12:1.32574310710695E-02	 13:6.92880990353732E-02	 14:0	 15:0	 16:0	 17:0	 18:0	 19:0	 20:0	 21:6.5
1	 1:0	 2:2.85476897423346E-04	 3:0	 4:0	 5:3.2514966507837E-04	 6:2.81578011246875E-04	 7:9.11139326838024E-06	 8:0	 9:3.23154791591567E-02	 10:0	 11:0	 12:1.35967378696489E-03	 13:1.82332194557287E-02	 14:0	 15:8.51750956847527E-04	 16:.013068350268314	 17:0	 18:0	 19:0	 20:0	 21:0
1	 1:0	 2:2.21771029301923E-02	 3:0	 4:0	 5:0	 6:2.53073791228272E-02	 7:0	 8:0	 9:5.98132814124111E-03	 10:4.44057381182371E-03	 11:9.17938258165959E-04	 12:0	 13:4.03480137478243E-03	 14:5.134537074247E-04	 15:3.84932935606524E-05	 16:3.27652877053077E-04	 17:8.76822191695942E-05	 18:0	 19:0	 20:9.419786424424E-05	 21:-13.73581
1	 1:0	 2:1.68644903634696E-02	 3:0	 4:0	 5:0	 6:1.67439764650463E-02	 7:0	 8:0	 9:1.51873475731901E-05	 10:1.75193617545345E-02	 11:1.29844388879806E-02	 12:0	 13:4.34218575726407E-03	 14:.013091080281645	 15:1.95780435435422E-02	 16:0	 17:1.27397370408579E-02	 18:1.49594483589888E-02	 19:0	 20:0	 21:-11.8691
1	 1:3.03033009063644E-02	 2:0	 3:0	 4:0	 5:1.56614176180022E-02	 6:0	 7:0	 8:0	 9:2.60989915075475E-03	 10:5.69632274606457E-04	 11:2.70894199892441E-03	 12:5.73977817027541E-05	 13:3.61386873113773E-02	 14:0	 15:0	 16:0	 17:0	 18:1.78563967855266E-02	 19:0	 20:1.00782033636895E-02	 21:98.01567
4	 1:0	 2:.09467851922349	 3:0	 4:0	 5:3.74946657642124E-02	 6:2.85492440897365E-02	 7:0	 8:0	 9:3.60929113991203E-03	 10:5.13798678860542E-02	 11:0	 12:0	 13:6.68307901453206E-02	 14:0	 15:0	 16:0	 17:6.93535232910202E-02	 18:0	 19:0	 20:0	 21:-878.8764
2	 1:0	 2:4.34276362637625E-02	 3:0	 4:0	 5:1.37496150141227E-04	 6:1.38026129311271E-02	 7:0	 8:0	 9:0	 10:1.60761788549291E-02	 11:2.07061541281381E-05	 12:0	 13:9.21074369441427E-05	 14:1.37115454538036E-03	 15:0	 16:1.71424182283472E-02	 17:2.99543743304361E-02	 18:2.42859166487286E-03	 19:0	 20:0	 21:-220.88805
3	 1:.580382340161877	 2:0	 3:0	 4:0	 5:0	 6:0	 7:0	 8:.31433631248486	 9:2.16158858054675E-03	 10:1.74142195556633E-04	 11:4.04876201652613E-03	 12:1.07568517509417E-03	 13:1.88992018590322E-05	 14:4.80156727085916E-03	 15:0	 16:0	 17:0	 18:2.24631126903139E-02	 19:0	 20:0	 21:13130.987365
3	 1:.297163095591454	 2:0	 3:0	 4:0	 5:.229528693971823	 6:0	 7:9.55059667352718E-03	 8:0	 9:1.27729550609395E-02	 10:1.9782708616577E-03	 11:0	 12:0	 13:1.05768106316461E-02	 14:8.35781164096883E-06	 15:0	 16:3.52699651248886E-03	 17:0	 18:1.19378527110427E-02	 19:0	 20:0	 21:1176.5
1	 1:0	 2:0	 3:0	 4:0	 5:0	 6:0	 7:0	 8:0	 9:0	 10:7.48557264262764E-03	 11:3.48316345211629E-03	 12:0	 13:2.18869477602656E-03	 14:4.77210651839755E-02	 15:3.78993158735362E-03	 16:3.00335865587912E-04	 17:3.43026904770744E-03	 18:.009304582023041	 19:8.78155048805089E-04	 20:0	 21:54.6567
1	 1:0	 2:0	 3:0	 4:0	 5:0	 6:0	 7:0	 8:0	 9:0	 10:2.07852322729867E-02	 11:0	 12:0	 13:2.00180089320607E-03	 14:6.10460965633826E-02	 15:1.30323620033781E-02	 16:0	 17:4.93714410323628E-03	 18:1.90072419109763E-02	 19:5.29983661740387E-03	 20:0	 21:54.6567
